0807
INFO:root:Epoch[12] Batch [2500]	Speed: 677.81 samples/sec	acc=0.468880
INFO:root:Epoch[12] Batch [2520]	Speed: 672.62 samples/sec	acc=0.472917
INFO:root:Epoch[12] Batch [2540]	Speed: 682.44 samples/sec	acc=0.473307
INFO:root:Epoch[12] Batch [2560]	Speed: 673.64 samples/sec	acc=0.471484
INFO:root:Epoch[12] Batch [2580]	Speed: 685.10 samples/sec	acc=0.474740
INFO:root:Epoch[12] Batch [2600]	Speed: 670.15 samples/sec	acc=0.482812
INFO:root:Epoch[12] Batch [2620]	Speed: 679.73 samples/sec	acc=0.478255
INFO:root:Epoch[12] Batch [2640]	Speed: 683.80 samples/sec	acc=0.471745
INFO:root:Epoch[12] Batch [2660]	Speed: 678.84 samples/sec	acc=0.477604
INFO:root:Epoch[12] Batch [2680]	Speed: 677.38 samples/sec	acc=0.485547
INFO:root:Epoch[12] Batch [2700]	Speed: 675.74 samples/sec	acc=0.463932
INFO:root:Epoch[12] Batch [2720]	Speed: 682.72 samples/sec	acc=0.475000
INFO:root:Epoch[12] Batch [2740]	Speed: 674.31 samples/sec	acc=0.476693
INFO:root:Epoch[12] Batch [2760]	Speed: 688.93 samples/sec	acc=0.470964
INFO:root:Epoch[12] Batch [2780]	Speed: 679.07 samples/sec	acc=0.475521
INFO:root:Epoch[12] Batch [2800]	Speed: 682.53 samples/sec	acc=0.473698
INFO:root:Epoch[12] Batch [2820]	Speed: 679.61 samples/sec	acc=0.475391
lr-batch-epoch: 0.001 2835 12
INFO:root:Epoch[12] Batch [2840]	Speed: 682.42 samples/sec	acc=0.474870
INFO:root:Epoch[12] Train-acc=0.471788
INFO:root:Epoch[12] Time cost=1613.411
call reset()
INFO:root:Epoch[13] Batch [20]	Speed: 676.58 samples/sec	acc=0.496652
INFO:root:Epoch[13] Batch [40]	Speed: 675.08 samples/sec	acc=0.505208
INFO:root:Epoch[13] Batch [60]	Speed: 671.28 samples/sec	acc=0.507292
INFO:root:Epoch[13] Batch [80]	Speed: 681.19 samples/sec	acc=0.494661
INFO:root:Epoch[13] Batch [100]	Speed: 681.79 samples/sec	acc=0.501302
INFO:root:Epoch[13] Batch [120]	Speed: 684.39 samples/sec	acc=0.496094
INFO:root:Epoch[13] Batch [140]	Speed: 678.58 samples/sec	acc=0.499609
INFO:root:Epoch[13] Batch [160]	Speed: 666.60 samples/sec	acc=0.496745
INFO:root:Epoch[13] Batch [180]	Speed: 669.22 samples/sec	acc=0.505990
INFO:root:Epoch[13] Batch [200]	Speed: 675.05 samples/sec	acc=0.514583
INFO:root:Epoch[13] Batch [220]	Speed: 684.59 samples/sec	acc=0.497135
INFO:root:Epoch[13] Batch [240]	Speed: 688.45 samples/sec	acc=0.505990
INFO:root:Epoch[13] Batch [260]	Speed: 674.48 samples/sec	acc=0.504818
INFO:root:Epoch[13] Batch [280]	Speed: 680.58 samples/sec	acc=0.497656
INFO:root:Epoch[13] Batch [300]	Speed: 679.73 samples/sec	acc=0.504427
INFO:root:Epoch[13] Batch [320]	Speed: 683.31 samples/sec	acc=0.492708
INFO:root:Epoch[13] Batch [340]	Speed: 683.23 samples/sec	acc=0.485156
INFO:root:Epoch[13] Batch [360]	Speed: 678.73 samples/sec	acc=0.496094
INFO:root:Epoch[13] Batch [380]	Speed: 669.70 samples/sec	acc=0.502734
INFO:root:Epoch[13] Batch [400]	Speed: 678.12 samples/sec	acc=0.507422
INFO:root:Epoch[13] Batch [420]	Speed: 681.73 samples/sec	acc=0.505729
INFO:root:Epoch[13] Batch [440]	Speed: 677.02 samples/sec	acc=0.491146
INFO:root:Epoch[13] Batch [460]	Speed: 684.17 samples/sec	acc=0.499479
INFO:root:Epoch[13] Batch [480]	Speed: 669.76 samples/sec	acc=0.493880
INFO:root:Epoch[13] Batch [500]	Speed: 676.27 samples/sec	acc=0.502604
INFO:root:Epoch[13] Batch [520]	Speed: 674.76 samples/sec	acc=0.510026
INFO:root:Epoch[13] Batch [540]	Speed: 680.92 samples/sec	acc=0.501693
